Overall Rating,Comments,Feedback Category
Satisfied,I accidentally deleted a book because it doesn’t line up with the book I wanted to delete.,All Other
Satisfied,Search engine could be better,Website- Filter/Search Options
Neutral,I still cannot how to add funds to the ewallet. Someone using your website should not have to google how to add money or anything else for that matter.,Website- General Comment/Navigation
Very Satisfied,Great and easy,Thanks/Praise
Very Satisfied,"It was very easy to set up an account and place my order for my Grandson, Liam, and his class.",Thanks/Praise
Satisfied,Everything the catalog and teacher said to do worked! I love that.,Thanks/Praise
Neutral,I wish there was more variety,Products Offered/ Availability
Very Satisfied,"I've found everything I wanted to order, I am now just waiting to show our daughter and let her pick out some  Books she likes.",Thanks/Praise
Very Satisfied,Very easy to use and prices were reasonable very grateful.,Thanks/Praise
Neutral,"I wanted to use my $5 book to get a book from teacher's wish list, but that wasn't available as an option. I can get the book for my child, but there was no way to note that it was for the teacher.",All Other
Satisfied,Free book titles could be where you could see whole title,All Other
Very Satisfied,great and easy to use.,Thanks/Praise
Satisfied,Love putting in the item numbers rather than having to search,Thanks/Praise
Satisfied,"Hard to figure out where to enter the class activation code. This survey popped up before I could do any shopping,",Connecting Teacher/Class Code
Neutral,"Because I am an educator and order books for my own classroom, I had to plug in my husband's email address or it wouldn't let me go any further without taking me  to a different book club.  Not a big deal.  When one is determined to order books for one's grandson, it will happen.",All Other
Disappointed,It was very difficult to find the correct part of the website to connect to my child's teacher and I only found it after shopping the 'parent store' by mistake. And then the book that my child had chosen wasn't available in both sections no matter how I searched. It was extremely frustrating.,Connecting Teacher/Class Code
Satisfied,"""Find your child's teacher"" should be prominently displayed as indicated by the order form.",Connecting Teacher/Class Code
Very Satisfied,It was very easy to create an account and connect with our teacher page.,Thanks/Praise
Neutral,"It is frustrating to look for books in different genres.  Yes, you can use the search to find authors, but you are lacking many great authors like Stuart Gibbs and Trenton Lee Stewart, just to name a few.  Plus, your selection of nonfiction books is not good.  My sons love reference books, but you have hardly any and the ones you do have aren’t the best.  Why don’t you have more DK Publishing?      The only reason I’m ordering anything is to support my sons’ teachers.",Website- Filter/Search Options
Neutral,It took me a while to figure out how to find the monthly magazine that was provided to the class so I could more easily place my order.,Website- General Comment/Navigation
Neutral,I haven’t even placed my order yet and I’m having to take the survey. It would make more sense to do it after I placed the order.,Website- Survey Pop Up Issue
Neutral,Hard to navigate on a mobile device,Website- Mobile Compatability
Satisfied,Easy peasy,Thanks/Praise
Very Satisfied,"Easy to navigate, easier with a paper flyer of the books to enter item numbers.",Kits
Satisfied,"I tried to enter the coupon code for 500 extra points today so I wouldn't forget to do it when I placed my order.  The site would not allow me to do that.  Hopefully, I will remember.  It would be really nice if Scholastic automatically entered in coupon codes for things that a teacher earns from you.  We have so many things to keep up with.  It would be nice to have that done for us.  It would be a great perk which all teachers would appreciate.  Thank you.",Bonus Points/Rewards/Promos
Satisfied,Easy to use website,Thanks/Praise
Very Satisfied,Loved it!,Thanks/Praise
Satisfied,"on the book preview pages, it would be nice if there was enough resolution to actually read the text.",All Other
Neutral,I was previously registered as a teacher but need to disable that account so I can order for my child.,All Other
Satisfied,"With the various sites, I could not figure out where to pair my child's classroom with my order. I did eventually make my way to the correct spot. The book pack that I wanted to buy was not available on the page associated with my child's classroom and was available on other sites.",Connecting Teacher/Class Code
Very Satisfied,Not sure yet.,All Other
Very Satisfied,My daughter loves books. Helps with her reading and it’s fun to choose a book to read for her weekly book reports.,Thanks/Praise
Neutral,I find navigating the magazine online tricky. it would be easier if we could click on an item on the catalog page and it would take us to an order option.,Website- General Comment/Navigation
Satisfied,I would love to see a wider variety of chapter books over comic books.,Products Offered/ Availability
Neutral,I received a $25 gift card at the end of last school year and I'm unable to find it to use it.,All Other
Very Satisfied,Everything was very easy,Thanks/Praise
Disappointed,I don't feel the descriptions give enough information about what the content in the books are.,Thanks/Praise
Neutral,There should be a section for clearance books.,Price
Disappointed,I couldn't find teachers name so I guess not all teachers have account.,Connecting Teacher/Class Code
Neutral,"I did not like the selection of books I could choose from for the $10 spend now. In years past, I could search for books and add them to my order. This time it would not let me. I did not get to use my $10 spend now.",Products Offered/ Availability
Satisfied,More discount books for teachers to order for their classroom would be nice,Price
Satisfied,I could not connect to my child’s new 3rd grade teacher at her school.   Please reach out to schools to encourage all teachers (especially new ones) to sign up for a class book club here.  Thank you!,Connecting Teacher/Class Code
Satisfied,Easy once I remembered my password,Thanks/Praise
Very Satisfied,I always appreciate the extra points to purchased books for my students and library. Thank you scholastic!,Thanks/Praise
Neutral,The search bar & criteria has been severely downgraded.,Website- Filter/Search Options
Satisfied,"I would like to find my children's teacher, but I am unable at this time.",Connecting Teacher/Class Code
Satisfied,I usually order every month. Last year I only ordered once because it took almost 6 weeks to get our order back nd parents became frustrated as did I. I hope these issue won't be a problem this year.,Prior Year Shipping Delay
Very Satisfied,I am the Library Media Specialist at the Baltimore Digital Harbor High School. I am looking for chapter books for my LMC. I am hoping that our new principal will give me a budget for it.  I was also wondering if you have book fairs for High Schools?,Products Offered/ Availability
Neutral,"Searching for content online is not user friendly. It is not easy to find description and rating/reviews on content. Also, the site is not organized, it is not easy to find all age appropriate topics.",Website- Filter/Search Options
Neutral,"There used to be a Spanish option to send to parents. This was extremely helpful, and I'm sure other translations would be as well. Maybe I just can't find it?",Website- General Comment/Navigation
Neutral,Can't remember PayPal password.,All Other
Neutral,It would be nice to see some Christian based books,Products Offered/ Availability
Neutral,Why don't I receive monthly scholastic flyers anymore?,Kits
Neutral,Takes long,All Other
Very Satisfied,Been using Scholastic Book Clubs for a long time for my grandchildren.  Have always found what they wanted with no problems..,Thanks/Praise
Satisfied,Was tricky at first but did finally get to the page that I needed to!,Website- General Comment/Navigation
Very Satisfied,I was disappointed to see that the coupons I had been receiving via email were not accepted through the book club.,Bonus Points/Rewards/Promos
Satisfied,I haven’t finished,Website- Survey Pop Up Issue
Neutral,Ordered books from Scholastic when my children were young. Now I've been enjoying ordering them for my grandson for 4 yrs. too.,Thanks/Praise
Neutral,We love the book fair and flyers!,Thanks/Praise
Satisfied,I’m still in the middle of trying to order.,Website- Survey Pop Up Issue
Satisfied,My saved book lists for my children from last year were removed. I would prefer to keep my saved book lists into the new school year and edit the list myself as my children interests change.,All Other
Satisfied,Website was challenging when finding my child’s teacher - I didn’t understand that I should order from Book Club and not just Order-,Connecting Teacher/Class Code
Neutral,Not easy to just get to a list of books,Website- Filter/Search Options
Satisfied,"I was not able to find the book ""Color Monster"" or any of the books in the series",Products Offered/ Availability
Very Satisfied,I like the feature where you can look through the flyers and order from there. Very cool and easy to use!,Thanks/Praise
Neutral,Don’t like the selection of books! I don’t need you pushing WOKE narrative!  The Language of Seabirds? Totally inappropriate! I won’t be buying this bs! Who thinks a 3rd grader needs this book? I’m out Scholastic!,Products Offered/ Availability
Neutral,"No issues, but wish we still had the ship to home option as I ordered a few larger items that may be difficult for my kiddo to transport home with her.",All Other
Very Satisfied,Search option is awesome. Easy to use site.,Thanks/Praise
Very Satisfied,Got it & that a miracle in itsself!!,Thanks/Praise
Disappointed,Cannot locate what I need,Products Offered/ Availability
Satisfied,I'd love to see a wider range of books for middle graders/middle schoolers! There's a bit of a gap in the maturity levels of the books. But I do appreciate the diversity variety!,Products Offered/ Availability
Satisfied,Scrolling to find free books is time consuming. Would be helpful if they were organized by genre.,Website- Filter/Search Options
Satisfied,Could be easier finding where to enter the teachers code-,Connecting Teacher/Class Code
Very Satisfied,Thank you!,Thanks/Praise
Satisfied,The website worked well once I got used to the format. Once I understood the format the shopping experience was fun and being able to look at the books was helpful.,Thanks/Praise
Very Satisfied,Very easy to do... Love it when it's not completed... Thank you!!!,Thanks/Praise
Very Satisfied,Muy bonitos libros para leer a mi hija,Thanks/Praise
Very Satisfied,"Being a child who loved when scholastics book fair came to my schools, I’m so happy as a parent now that they still have this amazing chance for this generation to experience the joy of buying books and making it digital is so convenient",Thanks/Praise
Very Satisfied,I am a little disappointed that I only received one flyer  for the beginning of the year. I have been a member for years. I need to wait before sending home the first flyers.,Kits
Very Satisfied,love the new and improved site!!,Thanks/Praise
Very Satisfied,It was very easy to view and find what I was looking for in the flyers,Thanks/Praise
Neutral,Could not figure out how to order paper catalogs for my class! Called and told it as at bottom of home page.  Could not find.  Very frustrated!,Kits
Satisfied,It would be ideal if you could accept payments from cards registered in another country.    My employer pays me in UK £ so I have to kee my bank in sterling pounds. This site only accepts US debit and credit cards or US PayPal.,Account Balance/Payment
Neutral,"The code given by teacher,, not sure if it gives discount or not. It did not work.",Connecting Teacher/Class Code
Very Satisfied,Easy ordering with the item #,Thanks/Praise
Very Satisfied,I love that I can select each of my children's teacher's and they get the credit for their student.,Thanks/Praise
Satisfied,"when I was in the teacher resources and looked at an item, the back button took me to the home page .",Website- General Comment/Navigation
Very Disappointed,"It is VERY hard to determine from this site whether a book is at an appropriate level. You provide like five different level systems, and do not normalize them in a user-friendly way. The page eplaining the systems is incomplete, and inconvenient to flip back and forth. How hard would it be to say ""reading level: 3rd, content: 4rd-5th""?    Also, your filters are ineffective. When I restrict to ""chapter books"", I do not expect any comic books or graphic novels to appear.",Website- Filter/Search Options
Neutral,Your survey keeps interrupting me,Website- Survey Pop Up Issue
Very Satisfied,Easy to place class order,Thanks/Praise
Very Satisfied,No issues.  Website is very easy to navigate and love your prices!,Thanks/Praise
Satisfied,Choosing a free book is not user friendly,All Other
Neutral,It was a bit cumbersome...,All Other
Neutral,"I'm still browsing, but so far so good!",Website- Survey Pop Up Issue
Very Satisfied,It was difficult to navigate to my childrens profiles to update my sons teacher for this school year.,Connecting Teacher/Class Code
Neutral,I'd like to try and order an ipad.  I'd like to know how long it will take it to  arrive.  I don't want to wait an extended period of time.,All Other
Satisfied,Connecting to a teacher. I couldn't see the button at the bottom.,Connecting Teacher/Class Code
Very Satisfied,It’d be nice if to gift the teachers,Thanks/Praise
Satisfied,It is confusing when you are supposed to pick your books earned. I chose before checking out and had to go back to delete them. Then I picked from the list allowed during checkout.,Website- General Comment/Navigation
Very Disappointed,Site does not present books grouped in useful categories. Site does not provide information about the books. Books are overpriced.,Website- Filter/Search Options
Neutral,"When ordering a free book with a coupon code, the pop up to select the free book made it where I could not access the button at the bottom right corner to finalize my selection. I used an iphone and both the safari and chrome browsers. It was impossible to select with safari, but in the chrome one I was able to just barely see the top sliver of the button and click it.",Website- Mobile Compatability
Neutral,"I’ve tried for the last few weeks to make the READS promo code work, and it keeps saying it is expired. I have $30 in the cart to order through my child’s teacher, so I’m not sure what the issue is.",Bonus Points/Rewards/Promos
Satisfied,A little tricky to link student with his class code.I overlooked that I had to click edit on students name.,Connecting Teacher/Class Code
Disappointed,Entered teacher code and child name twice. And why is this survey required?,Website- Survey Pop Up Issue
Satisfied,Hope the kid learning and fun,Thanks/Praise
Satisfied,Love the selection.  Love all the different ways to find the right book for my child.  Love the free book promo and that I can leave a donation.,Thanks/Praise
Satisfied,Need more help for appropriate books for my 14 year old granddaughter,Products Offered/ Availability
Very Satisfied,Great website!,Thanks/Praise
Very Satisfied,Parent friendly,Thanks/Praise
Satisfied,Rating below depends on how quickly items ship.  I am hoping it goes smoother than last year did.,Prior Year Shipping Delay
Very Satisfied,"I wish there were some titles that are not available... such as boxcar children, disney chills,  and treasure seekers",Products Offered/ Availability
Satisfied,Wasn’t finished ordering and it went to this customer satisfaction site and I couldn’t get it to go back to order.,Website- Survey Pop Up Issue
Satisfied,Simple,Thanks/Praise
Satisfied,It is good.,Thanks/Praise
Disappointed,The site is not friendly to the process of buying and searching fotmr stuff. The feeling is like desorganize . But I love the concept and the pueposr .,Website- Filter/Search Options
Neutral,I hope deliveries are much faster this school year.  I had very few orders last year because parents were disappointed with waiting months for books.,Prior Year Shipping Delay
Satisfied,It would be helpful to be able to add to the cart without having to click into the book profile.,Website- General Comment/Navigation
Neutral,Trying to enter the code READS as offered on the homepage for a free book with order.,Bonus Points/Rewards/Promos
Neutral,"Put the survey before I was able to order,   Putting the survey after would be better",Website- Survey Pop Up Issue
Satisfied,"It should be easier to see all scholastic books and sort by price rather than having to go to the specific grade, remove filter, and then sort by price.",Website- Filter/Search Options
Satisfied,"Not sure why you offer the Ready, Freddy books in Spanish, but not English.  I'll go to Amazon and get what I need.",Products Offered/ Availability
Very Satisfied,Good value,Thanks/Praise
Disappointed,I wish there was an easier place to enter your child’s teacher’s code from the main page.,Connecting Teacher/Class Code
Neutral,forgotten password & scholastic finally helped me after 40 minutes of   struggling,All Other
Disappointed,"These surveys come up to early,way befroe you get to finish browsing.",Website- Survey Pop Up Issue
Satisfied,Your site gets better all the time.  Very easy to navigate.,Thanks/Praise
Very Satisfied,Everything was easy and Great!!!!,Thanks/Praise
Satisfied,I somehow kept closing out of the site rather than going to the previous page.,Website- General Comment/Navigation
Neutral,I am unable to log into my teacher account. I need assistance.  My account was linked to Audrey.brooks@veneriniacademy.com. I changed jobs this summer and used my home email during the transition. My emus Audreybrooks66@gmail.com.  Venerini is located in Worcester ma on 27 Edward st. I have been unable to get in as a teacher and see my account to set up for the school year. I had a large amount of points saved and was going to get some supplies for the new year. I do not know my code as so much is still all boxed up. Please help. Thank you.,All Other
Very Satisfied,Awesome!,Thanks/Praise
Satisfied,I was just looking for books for my classroom and to use as birthday gifts for my students.,Thanks/Praise
Disappointed,"Teachers should be able to request catalogs from the website with one click, without having to take the time to make a phone call.",Kits
Disappointed,Dollar books didn’t show. We spend a lot of $ and it’s been rough with shipping and availability recently,Price
Satisfied,Hoping this year shipping is hassle free.  Last year we waited 3-4 months for books.,Prior Year Shipping Delay
Very Satisfied,I LOVE Scholastic and my students LOVE new books!,Thanks/Praise
Very Disappointed,I am a Eloise Kuhl’s Great Grandma,All Other
Neutral,"Would like to see more Spanish books, somewhat hard to navigate through just trying to browse Spanish books",Website- Filter/Search Options
Disappointed,"It is so difficult to figure out how to add to cart. If your ultimate goal is to sell, the adding to cart should be the easiest thing for customers to do.",Website- General Comment/Navigation
Very Satisfied,"Topics and book selections are very well organized. Also, I appreciate the book recommendations at the bottom of the page. Thank you for making age-appropriate, book ordering easy and convenient for parents!",Thanks/Praise
Very Satisfied,I love this site,Thanks/Praise
Satisfied,I have downloaded flyers to send home as I haven't received any paper flyers to send home yet. The paper flyers are the most effective in generation excited about books since we all tend to shop with our eyes!,Kits
Disappointed,Your site advertises the READS coupon in several places but when I type it in it says it’s expired. You shouldn’t have it in so many places if it’s not valid.   Amanda woods  Aosborn1999@yahoo.com,Bonus Points/Rewards/Promos
Satisfied,It took some time finding how to get into my child’s book fair (adding his teacher etc).,Connecting Teacher/Class Code
Very Satisfied,We always love shopping with Scholastic! I love that you can order from Scholastic at any time and have it shipped right to your house! My kids always get Scholastic books for Christmas!,Thanks/Praise
Very Satisfied,Thank you for providing new ways to save on purchasing books. Books are so vital to our students at school and at home!,Thanks/Praise
Disappointed,Wanted to create a account but I couldn't unless I had a teacher info. I don't have a teacher info. I just want to create a account.,Connecting Teacher/Class Code
Neutral,"Can’t figure out how to add a book to my cart. Browsing on my phone, maybe easier in a computer?",Website- Mobile Compatability
Neutral,The item I wanted went up drastically in price.,Price
Satisfied,"When I am viewing book/product details, and I press the back button, I don't always get the result I expect.  Sometimes it goes to a page *before* I selected the flyer I was viewing, rather than to the flyer view.  Sometimes it goes back to the book's quick view page.",Website- General Comment/Navigation
Satisfied,"I connected my teacher successfully. But I'm not sure if she is going to get benefit from my purchase today. If yes, I need to know what is the benefit she is getting in terms of points or books or any other.",All Other
Very Satisfied,Easy peasy!,Thanks/Praise
Very Satisfied,Super easy to create an account.,Thanks/Praise
Satisfied,Just getting ready for the school year.,Thanks/Praise
Very Satisfied,Very hard to scroll on phonr,Website- Mobile Compatability
Disappointed,"My friend is able to receive a book a month for her students on her class.  I would like to do the same thing, but can’t find the way to do it.",Website- General Comment/Navigation
Very Satisfied,"Easy to navigate, easily searchable, easy to shop!",Thanks/Praise
Satisfied,It's a little confusing to navigate but I am always happy when the kids' books arrive and I see their smiles!,Thanks/Praise
Neutral,I would like to check the books for 5th Grade and it was difficult.,Website- Filter/Search Options
Very Satisfied,My students and I love Scholastic!,Thanks/Praise
Satisfied,"the shipping last year was horrendous, made me not want to do scholastic in my classroom",Prior Year Shipping Delay
Very Satisfied,"Very user friendly. Thank you! I will continue to recommend Scholastic Book Clubs to everyone as long as the content stays away from Critical Race Theory selections and features books for kids at their grade level and fun engaging content, not agenda pushing nonsense. Thank you very much!",Products Offered/ Availability
Very Satisfied,Too tired to place an order tonight and wondered when next book flyers coming out,All Other
Satisfied,"Would be helpful to have the main search box auto-focus for entering multiple books in a row, as well as ""click out"" (click anywhere) to continue shopping.",Website- Filter/Search Options
Satisfied,"Didn't know there was a separate sub site, book club. Kinda hidden away.",Website- General Comment/Navigation
Satisfied,Request to review cam before I had a chance to do anything,All Other
Satisfied,The books I was looking for are no longer here. The Max lucado collection,Products Offered/ Availability
Very Satisfied,I didn’t get to finish what I was doing before this survey popped up.,Website- Survey Pop Up Issue
Neutral,Difficult,Website- General Comment/Navigation
Very Satisfied,"Very simple, easy to navigate to find books at the right level for my niece. First time on the site. No challenges.",Thanks/Praise
Very Satisfied,It was very user friendly,Thanks/Praise
Neutral,Browsing is a little challenging on a mobile device,Website- Mobile Compatability
Very Satisfied,"It was smooth, the rewards were EXTREMELY helpful in helping to build my classroom library!",Thanks/Praise
Very Satisfied,Please notify me by email when my students have ordered.  This is important!  I didn't know these were waiting in my account.  Last year I called to have me emailed when an order was placed and it was supposed to have been corrected.,All Other
Neutral,Then website isn’t very mobile friendly. It also takes a while to load and search easily.,Website- Mobile Compatability
Very Satisfied,Easy and very self explanatory. Can’t wait to get these books to read!,Thanks/Praise
Very Satisfied,Crucially good to hear you got a good sleep and love little guys love,All Other
Satisfied,Happy that Scholastic is keeping prices reasonable and have the Inflation busters.,Thanks/Praise
Satisfied,"site on desktop is absolute trash. on mobile, though, it's pretty okz",Website- General Comment/Navigation
Satisfied,I'll come back and complete my order. Just browsing today.,All Other
Satisfied,Using on a phone page panning was hard,Website- Mobile Compatability
Very Satisfied,Ordered octopus book with octopus toy:),Thanks/Praise
Disappointed,It is not an easy website to navigate.,Website- General Comment/Navigation
Neutral,"I have an account so where in your system already but could not locate it.  I have had emails in ND, SD, MN, WI, AZ and TX.  Pl ase find my account and merge the 2.  I have many bonus in the other account t that I want to use.",All Other
Neutral,I am looking to see your selection of board books for the younger kids at our preschool.,Products Offered/ Availability
Very Satisfied,I hate the shipping minimums,Price
Disappointed,I have had several problems with billing and over charging.,Account Balance/Payment
Very Satisfied,The overall ordering process was easy and pleasant. I’m happy to buy books from this book club web site.,Thanks/Praise
Very Satisfied,Thanks for making this process even easier than in the past.,Thanks/Praise
Satisfied,I am hoping that shipping will be quicker this year so that I can order more often this year.,Prior Year Shipping Delay
Satisfied,shipping was a real bummer last year,Prior Year Shipping Delay
Neutral,looking for books that are translated to other languages...not a one,Products Offered/ Availability
Neutral,"was wondering how to get paper flyers, I haven't received any yet this yea",Kits
Very Satisfied,"I am an anonymous book fairy for my grandkids' classes. I try to get 9 sets of books for each class. Their teachers use them in class, then each student takes the book home for their own library. Plus, I order an extra for the classroom library. I love the Judy Newman books because they're a big bang for my buck.   As an educator I know that the ability to read is the most important key to a student's success in school. Please continue making $1 selections each month...Thank you for helping help students enjoy reading.",Price
Very Satisfied,The Scholastic site is easy to use!  Thank you!,Thanks/Praise
Satisfied,I couldn’t change my daughters last name. Was it required?,All Other
Satisfied,"I thought I had saved a lot of books to my wish list last year, and now I can't find it.",Website- General Comment/Navigation
Disappointed,"The only reason I'm frustrated is because there are several other non-book options if you go to an in-person event, there are many more options.",Products Offered/ Availability
Very Satisfied,Love the books.,Thanks/Praise
Neutral,"pretty easy to go through the site, order and browse other options",Thanks/Praise
Very Satisfied,LOVE SCHOLASTIC AND THE TEACHER/PARENT FRIENDLY WEBSITE!,Thanks/Praise
Neutral,Was hard to find cart icon on iPhone 12 Safari. Had to scroll right    Also this modal popped up over the checkout page. I’m sure a lot of people are not submitting their orders!,Website- Mobile Compatability
Neutral,Navigating for books was hard on my phone.,Website- Mobile Compatability
Satisfied,I appreciate that you can select (or change) which child/classroom a book is for directly from your cart.,Thanks/Praise
Disappointed,It's funny how you have books in stores but yet a parent can't order directly from your websight. I'd rather order the books and ship directly to me. I have found that going through a teacher results in not getting books I ordered.,All Other
Very Satisfied,Very nice site!  So easy to add the book selections from the flyer my son brought home.  Great work!,Thanks/Praise
Satisfied,Make an easier search for books by category,Website- Filter/Search Options
Very Satisfied,I just learned that I can use my bonus points for other things I need for my class. I would love to see other items added like:  a classroom rug  scented markers  bulletin board borders  gel pens  felt markers  clicker (to change slides on the computer),Products Offered/ Availability
Very Satisfied,"Minor thing: when I picked my final item, I clicked continue shopping, and then I was having trouble locating any proceed to checkout button. My wife said click on the cart, and then suddenly I saw the cart icon right there. I'm a technically literate software developer (not web though), but I guess every other site has put their UX on steroids to maximize conversion and retrained our brains?    The other thing is I was unclear if I needed to go ahead and put the free book in the cart ahead of time, or if I was supposed to wait and shop for it at checkout. I did the latter.    When I did do the free book part, I was really impressed with how I could ""bank"" my current selection at the bottom of the UI while continuing to browse in case I found something better (which I did). Very nice feature.    A final comment: Scholastic is awesome. I'm glad you have the Book Trust thing, but I kinda wish there were a way I could directly (and anonymously) put up funds for my kid's classroom, in case",Thanks/Praise
Disappointed,From teacher it seems this is a good club cuz u get books for your child’s age range but I see books for 4th graders,Products Offered/ Availability
Satisfied,"It took me to the questionnaire, before confirming my sale",Website- Survey Pop Up Issue
Neutral,I had a difficult time navigating the site. It took longer than I anticipated to find the correct place to enter an order.,Website- General Comment/Navigation
Satisfied,This site needs to be phone friendly some of us do this at work during our breaks or lunch and it would be nice,Website- Mobile Compatability
Neutral,"Why is the upcoming Diary of a Wimpy Kid available of the parent site, but not the teacher site.?",Products Offered/ Availability
Satisfied,I’m in the middle of trying to order books and you want me to take this survey,Website- Survey Pop Up Issue
Very Satisfied,Easy it use,Thanks/Praise
Neutral,"When I first came to the site I couldn't find a place to connect to my child's teacher, so instead I just put in my order.  I found it at the end, but it would be nice if I could do it at the beginning of my order too.",Connecting Teacher/Class Code
Satisfied,The survey was prompted before I was able to complete my order,Website- Survey Pop Up Issue
Satisfied,"When earning free bucks to spend on classroom - this portion needs to be more user friendly. I feel like this part is very difficult to navigate, You should have it open in a separate tab because looking for a book to select is very hard.",Website- General Comment/Navigation
Neutral,Had a hard time being logged into my account and finding how to place the order with the class.     It was very nice though that I was able to use the book fair funds from last school year that My daughter did not spend.,Connecting Teacher/Class Code
Very Satisfied,This survey came up before I was done paying,Website- Survey Pop Up Issue
Satisfied,"I couldn't find the books I wanted on the book-club site, but they're available on the regular scholastic site.",Products Offered/ Availability
Satisfied,I haven't had problems with Scholastic Book Clubs. I have had difficulty with Scholastic News.,Thanks/Praise
Neutral,It would be nice if we could cancel orders or change the shipping address of orders from the website.,All Other
Very Satisfied,Had no trouble and easy to use.,Thanks/Praise
Very Satisfied,I really got great use of the points.,Thanks/Praise
Very Satisfied,I need the 5th grade flyer not the 4th grade flyers. Can you send me September's flyer ASAP? I will need 40 flyers because I teach two reading classes. thank you and hope to hear from you soon.,Kits
Satisfied,Please bring back $1 books for kids.,Price
Very Satisfied,The book selection is wide and provides for all different tastes. The bundles are a great buy.,Thanks/Praise
Very Satisfied,Very easy to use,Thanks/Praise
Disappointed,Confusing by to place orders through a book club. Can’t find the same books as I found without the book club sign innwhich is annoying.,Products Offered/ Availability
Satisfied,I haven't been able to complete the order yet.,Website- Survey Pop Up Issue
Very Satisfied,Was a simple and smooth process. No issues at all,Thanks/Praise
Disappointed,"This website is such a mess. It would be great if it was modeled after any other e-commerce site, literally any. I’m constantly shocked at how old this web design is and how clunky it is. There isn’t enough time in the day to volunteer to tell you every way this site is bad, clunky, buggy, ugly, and altogether non-functional - please just start over from the ground up.     I will add just this one thing- most surveys are clever enough to prompt after your purchase is complete or will open in another tab- this one navigated me away from the site and what I was looking at to purchase. Like- that seems like some pretty basic stuff, right? Do you want this mostly unhelpful feedback, or my business?",Website- Survey Pop Up Issue
Very Satisfied,Easy to navigate,Thanks/Praise
Very Satisfied,It was really simple.,Thanks/Praise
Neutral,Kinda tricky to navigate,Website- General Comment/Navigation
Very Disappointed,This survey came and seemed to interrupt paying. Not sure if it will work.,Website- Survey Pop Up Issue
Satisfied,"Easy to use site, would like to have free shipping though",Price
Very Satisfied,I am so excited to see YA books on the website finally!!!,Thanks/Praise
Very Satisfied,I would like an option for all books and titles to be displayed on one page to make it easier to pick recommendations.,Website- Filter/Search Options
Satisfied,Just started and you’ve sent me the survey.,Website- Survey Pop Up Issue
Neutral,"It is very hard to browse content, find deals and the age appropriate books. Also, there are no descriptions, reviews or ratings for books, which is making it very hard to decide before making purchases.",Website- Filter/Search Options
Disappointed,Families who send money in instead of ordering online should be given info on shipment fees and taxes. You are putting a burden on teachers by not informing the families that taxes and shipping are not included when they bring money to school for the teacher to purchase the books.,Price
Satisfied,There should be a big button on scholastic.com to take you to the proper site to order for a classroom.,Website- General Comment/Navigation
Very Satisfied,Love the prices and quality with Scholastic!,Thanks/Praise
Neutral,Couldn’t find my child’s teacher.,Connecting Teacher/Class Code
Neutral,Thank you for fixing the balance issues from last year.  I did not submit any new orders because of the that issue and would not be ordering this year if it continued to be a problem.,Thanks/Praise
Satisfied,Easy sign in.,Thanks/Praise
Neutral,Web site does not work well with iPad,Website- Mobile Compatability
Disappointed,Finding where to connect with my child’s teacher was impossible. Had to try 3 time!,Connecting Teacher/Class Code
Very Satisfied,Very easy and efficient!,Thanks/Praise
Neutral,Teachers code is not showing yet.,Connecting Teacher/Class Code
Satisfied,Easily understood and explained!,Thanks/Praise
Satisfied,It seems to be easier this year to submit bonus teacher picks. Too many steps before.  Teachers should not have to pay shipping for orders under $25. You are making enough money to cover this.  Media mail is much less expensive.,Price
Neutral,"I'm sure you can add a bigger variety of books.   We do not like princess or creepy books and we enjoy ""I survive ""books for example, just saying.",Products Offered/ Availability
Very Satisfied,Love This Website,Thanks/Praise
Neutral,"I started my order on Wednesday but realized I didn't have the classroom teacher code so I left the site and came back the day after with code on hand.  For Thursday (just 1 day after the day before), there were 2 different items that had been available and in my cart the day previous (single books- Heartstopper, Vol 3 and a Molly Melon Book) but when I went to search for them again to add to my cart- there was no item found.  I did find them in a series bundle purchase.  But I didn't want to buy the bundle because I already had many items within that bundle.  So I was a bit frustrated that I couldn't buy the single book when the day before, the single book was available and in my cart ready for purchase.  It felt like a ""marketing scam"" to me and we've had such positive experience with Scholastic previous and never had this issue.  So I thought I'd share that.  All other items were available and check out and the process were simple and great!",Products Offered/ Availability
Neutral,Flow could be designed better... actually getting to the teacher was different from what the instructions provided by the teacher were.,Connecting Teacher/Class Code
Very Satisfied,I really thought there was some great books offered in the flyers,Thanks/Praise
Very Satisfied,Unsure to list all email contacts because I'm not sure all families want to give out their personal emails.,All Other
Satisfied,Didn't realize book club was a different site,Website- General Comment/Navigation
Satisfied,"Technically haven't ordered yet, but working on that right now.",Website- Survey Pop Up Issue
Very Satisfied,Ive been buying books ince my kids were in school. Now getting them fot great grandchildren.,Thanks/Praise
Neutral,The book selection was hard to access.,Website- Filter/Search Options
Very Satisfied,Needed to update my e-mail address,All Other
Very Satisfied,Super east to navigate!,Thanks/Praise
Satisfied,Will flyers be sent for me to send home with my students?  Just unsure if that's still done.,Kits
Very Satisfied,Love this service!  Thank you!,Thanks/Praise
Very Satisfied,Straightforward ordering process.,Thanks/Praise
Neutral,Many of the books I'm looking to buy aren't available through Scholastics. I was hoping to give credit to a local school with book purchases.  The site didn't make it easy to enter the school's code. I had to find a new link from the school.,Products Offered/ Availability
