WeekOf,OverallRating,Comments,FeedbackCategory
9/8/2022,Very Satisfied,"We had so much trouble last year.  I only ordered one time.  Seems like things are back to the way they were.  If my books arrive on time, I will order each month.  Thank you!",Hopeful Shipping Improves this Year
9/8/2022,Disappointed,I selected funding the account with a card in error and wanted to use PayPayl - I couldn't find it after selected credit card.,Account Balance/Payment
9/8/2022,Very Satisfied,I'm impressed with how easy it wa,Thanks/Praise
9/8/2022,Neutral,"The site is very confusing. I have used Scholastic in the past and so I signed in. But then it took me to just a parent site rather than my child's teacher. I ended up going to ""book club"" which I guess is different and then that worked.","Unfamiliar with Different Sites (BC, SSO, TSO etc)"
9/8/2022,Satisfied,I was able to connect my child to her current teacher and I also added items to a  wish list.,Thanks/Praise
9/8/2022,Satisfied,"I've not ordered for a while. I continue to get e-mails from scholastic, yet my account was not found.",Website Performance/Navigation
9/8/2022,Very Satisfied,"I wish there were more Spanish versions of popular books available, also more value packs at lower price ranges in Spanish.",Products Offered/Availability
9/8/2022,Very Satisfied,"Great website! Easy to view, find books and order.",Thanks/Praise
9/8/2022,Very Satisfied,This will be my first order of the year and I'm excited to get started :),Thanks/Praise
9/8/2022,Very Satisfied,Super easy and smooth - thank you,Thanks/Praise
9/8/2022,Neutral,I love that I am able to order books and put together a wish list for future orders.,Thanks/Praise
9/8/2022,Neutral,I couldn't find a way to just go back a page and then I kept finding books I hadn't seen yet. I would have preferred a more comprehensive list of books.,Website Filter/Search Options
9/8/2022,Very Satisfied,I love this site. It is user friendly and very easy to submit orders.,Thanks/Praise
9/8/2022,Very Satisfied,I love you site and I love that parents can order from here it makes things so much easier!,Thanks/Praise
9/8/2022,Very Satisfied,My grandson loves getting these books and I enjoy ordering them for him.,Thanks/Praise
9/8/2022,Satisfied,Today things went smoothly. It is not a busy time of day.. sunday at 8pm.  Generally  I find the site to be difficult. The search often can be difficult to find what I need.,Website Filter/Search Options
9/8/2022,Satisfied,"I like the search function however, I don't like that all of the items on the scholastic flyer are not easily found on this site without having to either search directly for it or click on multiple sections.",Website Filter/Search Options
9/8/2022,Very Satisfied,This is a wonderful way for parents to order great books for their children.,Thanks/Praise
9/8/2022,Very Satisfied,YAH,All Other
9/8/2022,Neutral,Im trying to submit my classroom order but  I believe there was a 10 dollar credit for last month and I can't find it.,Account Balance/Payment
9/8/2022,Very Disappointed,"To Whom This May Concern,    I will not pay for the shipping on the last order. If I have to pay almost 7 dollars to have two books shipped then please refund the parent back their money.  This is ridiculous.     Sincerely,  Dissatisfied Educator!",Price
9/8/2022,Neutral,"Where did the 10 for 10$ get to? I am very disappointed that you do not offer that any more or even dollar books for teachers to buy. I teach for Head Start and I like to help my families build their home library by sending a book home a month. Some of my students don't even have books at home. I realize that everything in this world is going up, but my salary isn't really going up. I spend my own money to give the children this book.",Price
9/8/2022,Satisfied,"I was searching for the book ""The day the Crayons quit"" and I wasn't able to find it.",Products Offered/Availability
9/8/2022,Very Satisfied,Appreciated tutorial on online flyer!,Thanks/Praise
9/8/2022,Very Satisfied,Easy to use and find the books we wanted!,Thanks/Praise
9/8/2022,Satisfied,I would love a wider variety of chapter books for my classroom.,Products Offered/Availability
9/8/2022,Very Satisfied,"Your site is very user friendly, very easy to shop and place orders",Thanks/Praise
9/8/2022,Very Satisfied,I'm hoping the delivery of the books will be a lot smoother this year. Last year we had to wait  a long time for books. to arrive,Hopeful Shipping Improves this Year
9/8/2022,Very Disappointed,Login was very difficult. This site is unfriendly to use with a password managemer.,Website Performance/Navigation
9/8/2022,Very Disappointed,"I do not know whether it is the internet connectivity, but I was unsuccessful in placing my order online. Nothing seems to be loading when I click on it, and I have tried several times.",Website Performance/Navigation
9/8/2022,Neutral,"I get very frustrated using the READS code. If there are no appropriate books, Scholastic should simply take $5.00 of the total order.  Also, there periodically should offer codes to parents ho routinely purchase from the Scholastic Book Club.",Bonus Points/Rewards/Promos
9/8/2022,Neutral,I wasn't done approving my class order or choosing my books before the survey popped up.,Website Performance/Navigation
9/8/2022,Very Satisfied,Thank you!,Thanks/Praise
9/8/2022,Very Satisfied,"This was super easy, fast, and efficient.",Thanks/Praise
9/8/2022,Very Satisfied,"I would be more likely to recommend Scholastic if the shipping issues are no longer a problem this year.  I was a longtime supporter, until last year.  Now, I'm hoping for the best.",Hopeful Shipping Improves this Year
9/8/2022,Very Satisfied,I love how we could search for the classroom teacher. So easy! Thank you!!!,Thanks/Praise
9/8/2022,Very Satisfied,THE SITE IS NICE,Thanks/Praise
9/8/2022,Satisfied,when I hit submit it froze,Website Performance/Navigation
9/8/2022,Satisfied,I want to change my class code for this school year.,Connecting Teacher/Class Code
9/8/2022,Very Satisfied,great books for kids,Thanks/Praise
9/8/2022,Very Satisfied,"I am surprised to see tax being charged for the online orders.  Is that new this year?  Why aren't the cost of the books adjusted to absorb the tax?    Thank you,  Kathy Thomas",Price
9/8/2022,Satisfied,Challenges distinguishing where to place student order vs. teacher order. I  figured it out though.,"Unfamiliar with Different Sites (BC, SSO, TSO etc)"
9/8/2022,Very Satisfied,The online prices used to be .50 cents less than what was printed in the flyer.  I noticed that is no longer the case.,Price
9/8/2022,Satisfied,I picked about 4 or 5 different dollar books for having spent at least $75 and they were all unavailable.  What is the point of offering this if you don't have the books available?,Products Offered/Availability
9/8/2022,Very Satisfied,school code error and all other code errors,Connecting Teacher/Class Code
9/8/2022,Very Disappointed,"Last year my son never received his books. Cayden's teacher and I spent a lot of time trying to resolve the issue. I vowed never to purchase from you again. Since this year Cayden having a teacher that I think of highly, I have decided, for his sake, to give you another try. We will wait to see how this order goes.",Delayed Shipping/Delivery
9/8/2022,Satisfied,"It's hard to find the monthly rewards this year.  You have to click on a very small ""see all rewards"" tab to find it.",Bonus Points/Rewards/Promos
9/8/2022,Very Disappointed,The book our Daughter wants does not have the ADD TO CART button!!!  She is very upset and crying right now!!!  CANNOT FIND TEACHER listed.  Why?,Website Performance/Navigation
9/8/2022,Very Satisfied,Easy to use and navigate.,Thanks/Praise
9/8/2022,Very Disappointed,"I missed entering the promo code for $5.00 book value and can’t edit order. This was the entire reason I ordered $25 of books. I’ll be less likely to order at all in the future, because these books are available elsewhere.",Bonus Points/Rewards/Promos
9/8/2022,Neutral,This survey keeps populating even though I have yet to submit my order.,Website Performance/Navigation
9/8/2022,Satisfied,Great website and everything this company does. I do wish there was a sort by price option. Its hard times these days.,Website Filter/Search Options
9/8/2022,Satisfied,Not able to order a book due to lack of inventory,Products Offered/Availability
9/8/2022,Very Disappointed,We spent 20 minutes adding to our cart & then the cart expired. Nothing is in the cart & it won’t let me add any items. My son’s name is already connected to his teacher/school but the cart keeps asking me to assign his name to each book (it won’t let me do that either now). Super frustrating. I won’t order again.,Website Performance/Navigation
9/8/2022,Very Satisfied,The website is easy to use. I'm just hoping my order is shipped and received in a timely manner this year. I only placed one order last year because it took over a month to receive my class/student's books.,Hopeful Shipping Improves this Year
9/8/2022,Neutral,Just setting up my account,Website Performance/Navigation
9/8/2022,Very Satisfied,LOVE Scholastic.  :-),Thanks/Praise
9/8/2022,Neutral,I have previously set up an e-wallet (as a teacher) but could find no information on how to share a link with parents interested in contributing funds.,Account Balance/Payment
9/8/2022,Satisfied,"I am disappointed that you have a very limited number of books under $2.00.  Th e book of the week ( The Mouse and the Motorcycle)  was much too difficult for my first grade students..  Please have several book of the week options for different age levels.  Also, I do not think it is fair to require teachers to have an order limit in order to access the book of the week.  Not all families are able to buy books at this time so teachers are often the only way some students are receiving books.  When you limit teachers' access to the book of the week, you limit the kids who really need to get books in their hands!",Price
9/8/2022,Very Satisfied,"I would like additional paper fliers mailed to me at my school for parents who prefer to order books with this method. Thank you! (I teach Young 5's - 4 and 5 year olds.)  Jill Van Eck  Woodbridge Elementary School  9110 Woodbridge  Zeeland, MI. 49464",Kits
9/8/2022,Satisfied,book was out of stock.,Products Offered/Availability
9/8/2022,Very Satisfied,Website is easy to use,Thanks/Praise
9/8/2022,Satisfied,Please send me flyers appropriate for 6th grade ELA and Social Studies. Florida.,Kits
9/8/2022,Satisfied,Would be nice to add a feature to search/sort by price,Website Filter/Search Options
9/8/2022,Very Satisfied,"I love the ""item finder"" on the main page that allows me to just enter in the item number and it automatically adds it to my cart. Very easy to search and get more details on books.",Thanks/Praise
9/8/2022,Neutral,"Navigation is rough.  Site could be more user friendly.  Pop up for survey is requesting answers to questions that I haven't been given a chance to complete yet.  Ex.  Were you able to complete your task?  (Browse/search for books.). Pop up happened for survey before I checked out.  So no, I was not able to complete this task yet because you are stopping me....not really well thought out there...",Website Performance/Navigation
9/8/2022,Satisfied,I seem to have different Customer Numbers.  When I am online I see a 7 digit number.  On the back of my catalogues I see a 9 digit number.  I wasn't sure which one to put on my payment stub/envelope when sending in a student check.,All Other
9/8/2022,Neutral,I wanted an option to ship to home but could not find it,Ship to Home
9/8/2022,Very Satisfied,"Quicky, easy and affordable!",Thanks/Praise
9/8/2022,Neutral,"It's hard to navigate the variety of search and browse options- flyers, filters, search box. Specifically I once found items that were requested for the class by the teacher but later could not get back to the list.",Website Filter/Search Options
9/8/2022,Very Satisfied,Good site to order books for kids.,Thanks/Praise
9/8/2022,Satisfied,I was kicked out of sight and had to go back.,Website Performance/Navigation
9/8/2022,Satisfied,Love scholastics,Thanks/Praise
9/8/2022,Disappointed,I cannot make an account or purchase books online because I can't find my kid's teacher and I also don't have a class code.  This makes it impossible to order.,Connecting Teacher/Class Code
9/8/2022,Very Satisfied,"The website is definitely better and easier to use.  I like using the online features.  I didn't do any book orders last year because 2020 was so bad, but I am back on board.",Hopeful Shipping Improves this Year
9/8/2022,Neutral,You all have to up your diversity game. Your prices have also gone up (I know that's the economy and out of your hands) to the point that I can't afford to restock my library.,Price
9/8/2022,Very Disappointed,NOT LETTING ME ENTER STUDENT ORDERS,Website Performance/Navigation
9/8/2022,Satisfied,Multiple fliers unable to load,Website Performance/Navigation
9/8/2022,Satisfied,"When I log in, I'm immediately taken to the parent side of ordering.  The website timed out while I was verifying my total. I had to log back in.  The student order coupons are smaller. Would it be possible to make the order numbers larger and bolder. The numbers are hard to read.",Website Performance/Navigation
9/8/2022,Very Satisfied,I had to google how to find my kid's teacher... was guided to book clubs.,Connecting Teacher/Class Code
9/8/2022,Neutral,Hard to search. Unusual organization of site.,Website Filter/Search Options
9/8/2022,Disappointed,Don't know how to use the site. Just ended up going to the library.,Website Performance/Navigation
9/8/2022,Very Satisfied,"The search results for the free book on the checkout screen was not yielding any results, even though one of the books I was searching for was listed. I was forced to utilize the pagination and A-Z sort to find the book instead.",Bonus Points/Rewards/Promos
9/8/2022,Satisfied,"I miss not being able to request a different catalog without having to call to request. You have the option listed, but it’s useless since you can’t order them online.",Kits
9/8/2022,Very Disappointed,I really am having a difficult time navigating your site. Where are the prices? What is the A.R. level? Ridiculous!,Website Performance/Navigation
9/8/2022,Neutral,When I was trying to add Teacher wishlist books it kept changing the quantity to my order,All Other
9/8/2022,Neutral,"It said that I got $10 in free books, so I ordered two books for a total of $9, but it didn't given them to me free....it's very confusing...so I didn't get $10 of free books, instead, I paid $10 more.",Bonus Points/Rewards/Promos
9/8/2022,Satisfied,"It showed my teacher order cost was $16.34, so I chose my credit card for payment and it charged me $52.34. One of my students sent in a check for $36 which I'm going to mail in-but it also charged me for his book order.  I will call Monday about getting a refund.",Account Balance/Payment
9/8/2022,Very Satisfied,Very easy to access and use the site.,Thanks/Praise
9/8/2022,Satisfied,I would like to be able to print 2 copies of the letter to parents on one page in order to save paper.,Website Performance/Navigation
9/8/2022,Neutral,"Coupon code READS says that it is expired when ordering from my parent page (I am a teacher who uses scholastic, but am ordering for my son as a parent order), but it currently shows the coupon code right on top of the page saying that it is still valid for the free $5 book. Any reason why it isn’t working for me or is a way to fix this? Thank you!",Bonus Points/Rewards/Promos
9/8/2022,Neutral,Love it!,Thanks/Praise
9/8/2022,Disappointed,Can't open the flyers to view,Kits
9/8/2022,Neutral,I was unable to enter my edited information for the site.  I have changed positions and it did not allow me to enter grade level and number of students.,Connecting Teacher/Class Code
9/8/2022,Satisfied,"One thing I struggle with is lists.  I often add items to my cart and they disappear when no longer available.  I would love an option to be able to place saved titles in an area.  Sometimes, they are for a particular student.  Sometimes, I want to ensure completing a collection.  Either way, being able to store 1 to 10 lists and titles would be amazing (and if they are no longer available, I would prefer that to be bold and noted alongside the book, but not removed)!",All Other
9/8/2022,Very Satisfied,I'm a second grade teacher and love the ease of the website!,Thanks/Praise
9/8/2022,Very Disappointed,I cannot place my order!!!!  $118 of books that it will not let me order.  The teacher code has been given to someone else!  DISASTER!!!!!!!!!!!!!!!!!!!,Connecting Teacher/Class Code
9/8/2022,Very Satisfied,Scholastic is a great company!,Thanks/Praise
9/8/2022,Very Satisfied,Why don't you offer the actual flyer anymore?,Kits
9/8/2022,Very Satisfied,I think I confirmed the student order but am not sure.,"Unfamiliar with Different Sites (BC, SSO, TSO etc)"
9/8/2022,Neutral,Bumemd that one of the series we wanted was sold out,Products Offered/Availability
9/8/2022,Satisfied,"Last year extreme delay in shipping orders (supply chain issues, Backlogs and whatever) from September made us unwilling to submit additional orders throughout the year.  This was very disappointing.  We'd like to try again this year. We are hopeful we won't have the same issues.",Hopeful Shipping Improves this Year
9/8/2022,Satisfied,It would be awesome to buy books to keep at home.,Thanks/Praise
9/8/2022,Satisfied,"It took me a little while to figure out how to search by reading level. If that were more obvious, shopping on this site would be less frustrating . I also which there were more options for lower grade levels from the classics, like Usborne's illustrated stories (Shakespeare, Dickens, Greek Myths, etc.)",Website Filter/Search Options
9/8/2022,Very Satisfied,much easier than filling out a form,Thanks/Praise
9/8/2022,Very Satisfied,This was my first time switching between ordering as a parent and teacher and it was super easy! Thank you!!,Thanks/Praise
9/8/2022,Neutral,Still waiting for a refund from an order I returned in April.  I only received half of the refund I am owed.,Account Balance/Payment
9/8/2022,Satisfied,"Is there a way to send an email, that parents submitted online orders?",All Other
9/8/2022,Satisfied,The new way you have the system set up does not allow to easily click books for points. It is frustrating.,Bonus Points/Rewards/Promos
9/8/2022,Very Satisfied,send early childhood catalogs,Kits
9/8/2022,Very Disappointed,"I am a teacher and want to buy for my classroom!  I've purchased as a parent before, now I am a teacher.","Unfamiliar with Different Sites (BC, SSO, TSO etc)"
9/8/2022,Satisfied,Glad have the $1 store for teachers.  Wish the kiddos could have a few more $2 choices during the month.,Price
9/8/2022,Very Satisfied,Very easy to navigate your site!,Thanks/Praise
9/8/2022,Satisfied,I wish you had more selection and could search on Lexile range.,Products Offered/Availability
9/8/2022,Very Satisfied,My experience with Scholastic has always been amazing!!  I am a huge reading advocate and want my little ones to appreciate and love reading as well!,Thanks/Praise
9/8/2022,Very Satisfied,A wonderful program to interest young people to learn to love reading!!!!,Thanks/Praise
9/8/2022,Satisfied,"The site only kind of works on mobile... I was visting the site on my iphone 13 using Safari and could search and add books to my cart, ",Website Performance/Navigation
9/8/2022,Satisfied,"but when I went to use the READS promo code and select a free $5 book, I couldn't confirm and submit my selection, the page froze. So I had to complete my order on my laptop (which worked fine)",Bonus Points/Rewards/Promos
9/8/2022,Very Satisfied,Not ready to announce the book order to my class.,Intend to Order in Future
9/8/2022,Very Satisfied,I enjoy having this for my families and being able to purchase things for my classroom as well.,Thanks/Praise
9/8/2022,Neutral,On the list of free book options it is difficult to read the longer titles.  It is cut off.  Otherwise everything is very user friendly.,Website Performance/Navigation
9/8/2022,Very Satisfied,I love Scholastic book Clubs!  Great books at reasonable prices!,Thanks/Praise
9/8/2022,Satisfied,hard to access where i can use my points and dollar rewards,Bonus Points/Rewards/Promos
9/8/2022,Very Satisfied,i love white fox,All Other
9/8/2022,Very Satisfied,So helpful and easy for everyone to use,Thanks/Praise
9/8/2022,Very Satisfied,"I love how user friendly this site has become over the years.  The simple step of adding the names to the individual orders makes distribution so much easier.  My only suggestion would be to add some $1.00 books for options when we have ""money to spend"" so we can help build classroom sets for our students without bearing the cost burden ourselves.  Otherwise, thanks so much!",Price
9/8/2022,Satisfied,Difficult to find where to enter the teacher/class code.,Connecting Teacher/Class Code
9/8/2022,Very Satisfied,easy to order and navigate the site,Thanks/Praise
9/8/2022,Neutral,"It would be helpful to see if my child's teacher had a wishlist or any books that she wanted for the classroom. Even if her teacher didn't have one and there were 0 items at least as a parent I would be able to see if there was one and could ""donate"" to the classroom in that way.",All Other
9/8/2022,Satisfied,"I have been a Scholastic teacher/customer for 26 years. I understand that things are more expensive now however the cost of items and lack of teacher deals is very discouraging. The amount of bonus points charged for books is ridiculous. I have 36 students in my class and like to get at least 6 books per year for them. I cannot afford this out of pocket expense. I hope that Scholastic takes this into consideration as I know many of my colleagues feel as I do and cannot afford to continue purchasing books. Also, I work in a poverty coded school and most of our parents cannot purchase books unless they are extremely discounted. I love Scholastic and am trying to continue our relationship however am more  discouraged each year based on lack of teacher deals and bonus point increases.",Price
9/8/2022,Very Satisfied,I love using the site to get books ..,Thanks/Praise
9/8/2022,Very Satisfied,Please keep monthly flyers coming to my school. People still prefer to look at a paper flyer.,Kits
9/8/2022,Very Satisfied,You wanted me to take the survey AFTER I finished placing my order but it popped up right away.  I had barely started the order.  Most of your questions relate to me having PLACED the order when I hadn't had the chance to do so yet.,Website Performance/Navigation
9/8/2022,Disappointed,"I am extremely disappointed that as a teacher I was NOT allowed to use my bonus points to purchase books from the dollar section. I have always ordered one book per child for my classroom. Your book prices have gone up and teachers can no longer afford to purchase with bonus points books for her classroom. I submitted a huge order, but I will definitely rethink if I will submit next month, sorry!",Bonus Points/Rewards/Promos
9/8/2022,Satisfied,It is disappointing that we can only shop from the dollar book inventory with a class order of $75 or more.,Price
9/8/2022,Very Satisfied,It was very easy.  I could see the flier and make my selections very easily.,Thanks/Praise
9/8/2022,Disappointed,Hard site to navigate.  If I didn’t know the name of the book I was looking for I wouldn’t have the patience to find it.  The search option was useful.,Website Filter/Search Options
9/8/2022,Satisfied,I sent an email to request flyers. It would be nice to have an online option  to request flyers.,Kits
9/8/2022,Satisfied,"I really appreciate the Teacher Bonus Catalog and use my reward points to purchase items for our classroom.  However, I would like you to offer more puzzles for pre-k students.   Years ago I purchased  a ""No, David!"" puzzle through Scholastic.  I read the book ""No, David!"" by David Shannon to my class and then my students love putting this 28 piece puzzle together.  The puzzles do not necessarily have to be book related, but just sturdy and good quality.  I also miss selecting from Melissa & Doug products.",Products Offered/Availability
9/8/2022,Neutral,I wasn't able to find any books with Christian morals and or values.,Products Offered/Availability
9/8/2022,Neutral,it is very easy to use when you can enter the item # from the flyer.,Thanks/Praise
9/8/2022,Neutral,Thanks for the books!,Thanks/Praise
9/8/2022,Very Satisfied,Easy to find books!!,Website Performance/Navigation
9/8/2022,Neutral,it's a little cumbersome.,Thanks/Praise
9/8/2022,Very Satisfied,Very Easy to create an account and check out!,Thanks/Praise
9/8/2022,Very Satisfied,"I have been using Scholastic Books for 21 years, and have always been completely satisfied.",Thanks/Praise
9/8/2022,Very Satisfied,"I want my kids to read wholesome books without witchcraft, magic nd sorcery.  Bring back the classics like Misty of Chincoteague, Homer Price, Pippi Longstocking, McBroom Tells the Truth, McBroom's Wonderful One Acre Farm etc.",Products Offered/Availability
9/8/2022,Neutral,Search engine is not that user friendly.,Website Filter/Search Options
9/8/2022,Satisfied,Great book catalog and promotions,Thanks/Praise
9/8/2022,Very Satisfied,"Excellent website and easy to navigate thru. Pricing and deals are amazing , I love shopping with Scholastic, been a loyal fan and customer ever since I was a child myself.",Thanks/Praise
9/8/2022,Neutral,Site is easy to use.  Thank You.,Thanks/Praise
9/8/2022,Very Satisfied,Easy squeezy!,Thanks/Praise
9/8/2022,Very Satisfied,Smooth as always,Thanks/Praise
9/8/2022,Neutral,We already have many of the books on your site and the others just don't interest me.,Products Offered/Availability
9/8/2022,Neutral,The entire process was very easy.,Thanks/Praise
9/8/2022,Neutral,"Many pop ups confused me, and the most common reason to come to the website is to place an order which was just plain hard to find quickly.",Website Performance/Navigation
9/8/2022,Satisfied,"Selection is good, ordering is a little confusing having two different sites with scholastic.com and the bookclub site.  I couldn't find the books from the school flyer at first. The chat feature is very nice. Thanks","Unfamiliar with Different Sites (BC, SSO, TSO etc)"
9/8/2022,Disappointed,I was not able to select the free book that I was eligible for due to glitches on your website. I attempted multiple times but the webpage froze.,Bonus Points/Rewards/Promos
9/8/2022,Very Satisfied,STILL WAITING FOR MORE STUDENTS TO TURN IN ORDERS BY 9-16,Intend to Order in Future
9/8/2022,Very Satisfied,Love It!,Thanks/Praise
9/8/2022,Neutral,"One of my books, from the Magic Tree House pack I got last May, had pages fall out right when I opened it. Very poor quality.",All Other
9/8/2022,Very Satisfied,I always enjoy seeing new books on the site and I like being able to browse books by grade and reding level. I love the books sets!,Thanks/Praise
9/8/2022,Very Satisfied,I would still like to get a paper copy of the book form occasionally.  Is that possible .  I couldn't figure out how to order them.,Kits
9/8/2022,Very Satisfied,You are wonderful! I love your books.,Thanks/Praise
9/8/2022,Very Satisfied,It was very easy today,Thanks/Praise
9/8/2022,Satisfied,I wish there were $1 books still  so I could buy a set for my class at a reasonable price.,Price
9/8/2022,Very Satisfied,So easy and my students are excited to get their books!,Thanks/Praise
9/8/2022,Satisfied,I teach very young 2's I'm looking for books for their age.,All Other
9/8/2022,Very Satisfied,Wonderful and easy.,Thanks/Praise
9/8/2022,Very Satisfied,Wanted to browse the site but will be back to purchase books in the near future.  Thank you for helping teachers out with the book club option.,Intend to Order in Future
9/8/2022,Neutral,I wanted to use my own information to order my granddaughter’s books. I wanted to create an account for myself. It would not let me. It only would let my daughter get into her account. Which is aggravating to say the least. I experience a lot of frustration with your website every year.,Website Performance/Navigation
9/8/2022,Satisfied,I was trying to find something for 2.00 to spend the rest of my 10.00 on - no luck!,Products Offered/Availability
9/8/2022,Satisfied,Well laid out,Thanks/Praise
9/8/2022,Very Disappointed,"Every single time I order books form Scholastics for my son's classroom, the coupon reads does not work!  This is extremely frustrating. I chatted  with 2 representatives and there were clueless and couldn't figure out the problem.     This is simply not acceptable.",Bonus Points/Rewards/Promos
9/8/2022,Neutral,"I wasn't able to easily put in the exact reading levels of books that I wanted to search for, it kept taking me to a much broader range than I wanted initially. I'm not able to share my book list with family members, and I have multiple people that would like to place orders. Will eventually place an order, just need to manually deconflict with family on which books everyone wil purchase so we don't duplicate.",Website Filter/Search Options
9/8/2022,Satisfied,hard to get back to my same spot after adding a book to cart,Website Performance/Navigation
9/8/2022,Neutral,"The site doesn't preview the flyers well. The actual place to view the flyers is great, but the page to preview them doesn't show enough information to be useful in identifying which flyer is best.",Website Performance/Navigation
9/8/2022,Very Satisfied,It is fun,Thanks/Praise
9/8/2022,Neutral,"There are books in the 3rd grade flyer that say they have ""mature content""--they should not be in the flyer at all. Particularly, one called ""The Language of Seabirds"" that pictures two teen boys on the cover. The topic of romance in any form is inappropriate content for third graders...let alone same-sex romance material. It's disappointing to see this kind of content being pushed on young children.",Products Offered/Availability
9/8/2022,Very Satisfied,Good choices and easy to navigate the site. Prices are good as well.,Thanks/Praise
9/8/2022,Neutral,It was very easy and quick.,Thanks/Praise
9/8/2022,Very Satisfied,Waiting to let my other kids pick out some books to add to the cart,Intend to Order in Future
9/8/2022,Very Satisfied,Well done.,Thanks/Praise
9/8/2022,Satisfied,Last year the service and shipping were terrible.  I submitted only one order because of the delays.  I am optimistic that your ordering system is in order now.,Hopeful Shipping Improves this Year
9/8/2022,Very Satisfied,i had no problems during my visit to this site.,Thanks/Praise
9/8/2022,Very Disappointed,I tried but it kept asking for my password  why can’t I just put in the teachers activation code  Old people like me aren’t good at navigating obscure stes,Website Performance/Navigation
9/8/2022,Neutral,"There is another scholastic site that is confusing and I end up there filling a cart and find out it is not this area and get frustrated. also, when a student gives me a check for a book order and it is under $25 I want to submit it , but I won't from now on because you charge me a shipping fee even if I have an online order. I am about done trying to figure your site out. I don't like to tell students no, but I am not paying shipping because there is not a big enough order.","Unfamiliar with Different Sites (BC, SSO, TSO etc)"
9/8/2022,Very Satisfied,Love being able to search the actual flyers. So easy and convenient,Thanks/Praise
9/8/2022,Satisfied,"Hoping that Scholastic has a better response time for orders this year.  Last year, I quit ordering because it was embarrassingly long until delivery once orders were submitted. I'm willing to try one more time before I tell parents to just buy books from Amazon.",Hopeful Shipping Improves this Year
9/8/2022,Very Satisfied,Easy to use,Thanks/Praise
9/8/2022,Very Satisfied,I love Scholastic!,Thanks/Praise
9/8/2022,Satisfied,"It  usually takes some time for me to navigate this site to get all of what I need i.e. bonus, my order, use money in my account.",Account Balance/Payment
9/8/2022,Disappointed,"This is the second day that I've tried downloading and printing the parent letter but it opens up a page that says HTTP Status 400.  My son's teacher sent home the letter, so I'm not sure why it isn't working for me.",Website Performance/Navigation
9/8/2022,Very Satisfied,I was adding in my updated information as I changed states and districts... Thank you. Phelps,Thanks/Praise
9/8/2022,Very Satisfied,so excited to receive these books,Thanks/Praise
9/8/2022,Very Satisfied,easy to navigate,Thanks/Praise
9/8/2022,Satisfied,The verify you are not a robot button didn't work. Had to log out and relog back in and then it didn't ask me to do that.,Website Performance/Navigation
9/8/2022,Very Satisfied,"I've bought books from here since I was a child, and I'm very happy to be able to share the joys of reading with my children as well.",Thanks/Praise
9/8/2022,Satisfied,Can't connect my daughter to her teacher,Connecting Teacher/Class Code
9/8/2022,Very Satisfied,"The site so far is very easy to navigate, makes it easy for quick orders.",Thanks/Praise
9/8/2022,Very Satisfied,We love Scholastic books and book fairs and look forward to our PK daughter to bring home her books!,Thanks/Praise
9/8/2022,Very Satisfied,I hope that I did this correctly.,All Other
9/8/2022,Neutral,Out-of-stock books on the  9th day of the month. Disappointed student!!!,Products Offered/Availability
9/8/2022,Satisfied,Sign in was slow - but could have been my mobile device.,Website Performance/Navigation
9/8/2022,Satisfied,Very nice site. Let's add the Warrior cats series!!!,Products Offered/Availability
9/8/2022,Neutral,super easy to use the site,Thanks/Praise
9/8/2022,Very Satisfied,easy to order. love the site,Thanks/Praise
9/8/2022,Neutral,I tried to place the order on my cell phone but it said the site wasn't responding.,Website Performance/Navigation
9/8/2022,Very Satisfied,"AS usual, scholastic is easy to navigate and work with.",Thanks/Praise
9/8/2022,Neutral,"My daughter is entered twice, so what should have been one order ended up being recorded a two.",All Other
9/8/2022,Very Satisfied,It would be nice if we had the option to change the signature on emails sent out. I go by Miss Amy instead of Mrs. Nogar and don't see a way to change it.,Website Performance/Navigation
9/8/2022,Neutral,"I don't feel that your selection meets my needs as it once did. There are no inspirational books and that makes me feel unheard, unseen, and ignored.",Products Offered/Availability
9/8/2022,Neutral,I would love to see a teacher wishlist on the site after we are connected to our child's classroom.   We could purchase books for the classroom with our monthly orders and it would make it an easy way to show some support for our teachers.,Connecting Teacher/Class Code
9/8/2022,Very Satisfied,Last year we barely ordered due to shipping delays. I hope this year everything is back to normal with ordering and shipments.,Hopeful Shipping Improves this Year
9/8/2022,Very Satisfied,Like how you have it arranged and is easy to navigate.,Thanks/Praise
9/8/2022,Disappointed,"Not able to order for any of my grandkids at their school today, none of their 3 teachers r on their school website. I don't have their paper in front of me. So not sure how to do it. Kind of frustrating . It asks for emails of teachers, I don't have those either. So as a grandparent, how r we supposed to that when our grandchildren say , hey can u buy us books!!!",Connecting Teacher/Class Code
9/8/2022,Neutral,I don't like having to sign in so often the site doesn't remember my login over the school year.  Book selection also need more traditional classics from US and the rest of the world.,Products Offered/Availability
9/8/2022,Very Satisfied,Always great to work with,Thanks/Praise
9/8/2022,Disappointed,"First it site won't recognize my email, so I lost all my points from last year (even though I have the same email for the past 17 years and I used the orders last year). It is difficult to navigate around and find the things you need to find. Also,  I have set  a due date, yet site states I need to set a due date. Frustrating that it is not updating/remember things.",Website Performance/Navigation
9/8/2022,Satisfied,"When using the $5 code, would be great to just see a list of books that are available vs having the search.",Bonus Points/Rewards/Promos
